name,operator,lat,lon,state,city,county
zColo by Zayo,,39.5913398,-104.8470655,CO,Centennial,Arapahoe County
Intergate Seattle East Building 5,Sabey,47.491986,-122.2896655,WA,Tukwila,King County
Intergate Seattle East Building 3,Sabey,47.4934798,-122.2904647,WA,Tukwila,King County
Intergate Seattle East Building 4,Digital Realty,47.4934032,-122.2888803,WA,Tukwila,King County
Flexential Allentown data center,Flexential,40.6356953,-75.4575733,PA,Allentown,Lehigh County
Digital Realty ACC4,Digital Realty,39.0178592,-77.4624708,VA,Ashburn,Loudoun County
Equinix Ashburn DC1,Equinix,39.0155577,-77.4603281,Virginia,Ashburn,Loudoun County
Equinix Ashburn DC5,Equinix,39.0159646,-77.4612225,VA,Ashburn,Loudoun County
Equinix Ashburn DC11,Equinix,39.0148911,-77.4587995,VA,Ashburn,Loudoun County
Equinix Ashburn DC3,Equinix,39.0220154,-77.460235,VA,Ashburn,Loudoun County
Digital Realty ACC3,Digital Realty,39.01988,-77.4598033,Virginia,Ashburn,Loudoun County
CoreSite SV2,"CoreSite Real Estate 1656 McCarthy, L.P.",37.4056857,-121.9162604,CA,Milpitas,Santa Clara County
Amazon IAD76,Amazon Web Services,38.9937936,-77.450509,VA,Sterling,Loudoun County
Amazon IAD12,Amazon Web Services,38.988724,-77.447671,VA,Sterling,Loudoun County
Digital Realty ACC5,Digital Realty,39.0201584,-77.4631033,VA,Ashburn,Loudoun County
Digital Realty ACC6,Digital Realty,39.0210261,-77.4635509,VA,Ashburn,Loudoun County
Level 3 Ashburn,Lumen Technologies,39.022182,-77.4576094,Virginia,Ashburn,Loudoun County
Centersquare IAD4-B,Centersquare,39.0221679,-77.4535946,VA,Ashburn,Loudoun County
NTT Ashburn VA1 Data Center,NTT,39.0227436,-77.4548911,VA,Ashburn,Loudoun County
Digital Realty Phoenix PHX15,Digital Realty,33.2749228,-111.8866379,AZ,Chandler,Maricopa County
H5 Phoenix,H5,33.2769993,-111.8858906,AZ,Chandler,Maricopa County
CyrusOne PHX1,CyrusOne,33.2708783,-111.8819954,AZ,Chandler,Maricopa County
Equinix DC13,Equinix,39.0125623,-77.4754047,VA,Ashburn,Loudoun County
Digital Realty Northern Virginia IAD14,Digital Realty,39.0033364,-77.4870935,Virginia,Ashburn,Loudoun County
Amazon Web Services Building C,Amazon Web Services,39.0027516,-77.4854486,Virginia,Moorefield,Loudoun County
Digital Realty Northern Virginia IAD12,Digital Realty,39.0020229,-77.4833469,Virginia,Ashburn,Loudoun County
Digital Realty Building A,Digital Realty,39.0027415,-77.4819572,Virginia,Moorefield,Loudoun County
Digital Realty Northern Virginia IAD24,Digital Realty,39.0043186,-77.484415,Virginia,Ashburn,Loudoun County
Databank Ashburn IAD1,Databank,39.0154881,-77.4821555,Virginia,Ashburn,Loudoun County
Golds Gym Ashburn,,39.0156031,-77.483284,VA,Ashburn,Loudoun County
Apple Data Center,Apple Inc.,33.3470334,-111.6041418,AZ,Mesa,Maricopa County
VISA,VISA,42.2167763,-87.9529303,IL,Vernon Hills,Lake County
John F. Simms Building,SONM,35.6724585,-105.9565924,NM,Santa Fe,Santa Fe County
Lumen San Antonio 2,Lumen Technologies,29.4382791,-98.5065217,Texas,San Antonio,Bexar County
,,44.2959422,-120.8872741,Oregon,Prineville,Crook County
Adobe Data Center,,45.5501974,-122.9318913,Oregon,Hillsboro,Washington County
Stack Infrastructure Portland 2 Data Center,,45.5473758,-122.8973869,Oregon,Hillsboro,Washington County
Digital Realty PDX10 Data Center,Digital Realty,45.5476065,-122.8919518,Oregon,Hillsboro,Washington County
Flexential,Flexential,45.5498253,-122.8908454,OR,Hillsboro,Washington County
Flexential Portland - Hillsboro 1,Flexential,45.550371,-122.892151,OR,Hillsboro,Washington County
Flexential Louisville - East,Flexential,38.2771906,-85.5072402,KY,Louisville,Jefferson County
Flexential Louisville - Downtown,Flexential,38.242501,-85.733336,KY,Louisville,Jefferson County
Terminal Commerce Building,,39.9598116,-75.1608332,PA,Philadelphia,Philadelphia County
TierPoint,,47.6719149,-117.0959323,Washington,Liberty Lake,Spokane County
Baltimore Technology Park,,39.275367,-76.62551,MD,Baltimore,
Intergate Seattle West Building C,Sabey,47.494123,-122.2943972,WA,Tukwila,King County
Intergate Seattle West Building B,Sabey,47.4930744,-122.2936837,WA,Tukwila,King County
Intergate Seattle West Building A,Sabey,47.4921833,-122.2933176,WA,Tukwila,King County
Vantage WA11,,47.2501646,-119.8144903,Washington,Quincy,Grant County
NTT Data Quincy,NTT,47.2435798,-119.8657481,Washington,Quincy,Grant County
,,47.2388186,-119.8593592,Washington,Quincy,Grant County
,,47.2382623,-119.8593664,Washington,Quincy,Grant County
Geneseo Communications Inc,,41.5502695,-90.4824093,Iowa,Bettendorf,Scott County
,,41.9053402,-88.2195062,Illinois,West Chicago,DuPage County
,,40.5528396,-74.4566865,New Jersey,Piscataway Township,Middlesex County
,Verizon Wireless,39.7171971,-85.941411,IN,New Palestine,Hancock County
,,40.7847354,-74.0643545,New Jersey,Secaucus,Hudson County
Flexential Salt Lake City - South Valley,Flexential,40.6203519,-111.986047,UT,West Jordan,Salt Lake County
Digital Realty Silicon Valley SC1,Digital Realty,37.3616469,-121.9439784,CA,Santa Clara,Santa Clara County
QES Computers,,37.6994753,-121.9037995,California,Pleasanton,Alameda County
Equinix SE3 Data Center,Equinix,47.6144229,-122.3397427,WA,Seattle,King County
QTS Piscataway Data Center,Quality Technology Services,40.5569431,-74.4839173,NJ,Piscataway,Middlesex County
AiNET,,39.0528404,-76.9259248,Maryland,Calverton,Prince George's County
Microsoft,Microsoft,29.47827,-98.6906853,TX,San Antonio,Bexar County
Microsoft San Antonio,Microsoft,29.479881,-98.6925337,TX,San Antonio,Bexar County
Microsoft,Microsoft,29.4810535,-98.6965704,TX,San Antonio,Bexar County
,Claro,18.446827,-66.0516873,Puerto Rico,San Juan,
Lumen Norristown,Lumen Technologies,40.127067,-75.4086586,Pennsylvania,Lower Providence Township,Montgomery County
Equinix DC7,Equinix,38.9091392,-77.2205568,Virginia,Tysons,Fairfax County
Element Critical VA1,,38.9083675,-77.2197442,Virginia,Tysons,Fairfax County
Pittock Block,,45.5215436,-122.6807041,OR,Portland,Multnomah County
Data Center,Oregon Health & Science University,45.5266839,-122.8755048,Oregon,Beaverton,Washington County
Cisco Allen,,33.1359616,-96.6609921,Texas,Allen,Collin County
,,44.2949725,-120.8839727,Oregon,Prineville,Crook County
CSSNW Bellingham,CSS Communications,48.75726,-122.4805485,Washington,Bellingham,Whatcom County
EdgeConneX CHI02,EdgeConneX,42.0014952,-87.9525624,IL,Elk Grove Village,Cook County
Equinix Chicago CH3,Equinix,42.001221,-87.9551997,IL,Elk Grove Village,Cook County
Element Critical CH2,Element Critical,41.9742269,-87.9671756,IL,Wood Dale,DuPage County
Centersquare Elk Grove Village Data Center Campus ORD2,Centersquare,41.9920884,-87.9580136,IL,Elk Grove Village,DuPage County
Flexential Denver - Englewood,Flexential,39.558994,-104.8375559,CO,Englewood,Douglas County
EdgeConneX Detroit DET01,EdgeConneX,42.4476693,-83.2626336,Michigan,Southfield,Oakland County
Lumen Austin 3,Lumen Technologies,30.261396,-97.7235975,Texas,Austin,Travis County
Alpheus DataCenter,Alpheus,30.2610525,-97.722122,TX,Austin,Travis County
Digital Realty Austin AUS11,,30.212156,-97.6957555,TX,Austin,Travis County
LightEdge Austin II,,30.2006765,-97.707046,TX,Austin,Travis County
CyrusOne Austin Data Center II,,30.2059205,-97.6979506,Texas,Austin,Travis County
Data Foundry Austin 1 Data Center,,30.215504,-97.696074,Texas,Austin,Travis County
VISA Data Center,,39.0487658,-77.4453971,VA,Ashburn,Loudoun County
LightEdge Austin I,,30.2142972,-97.7126675,Texas,Austin,Travis County
Skybox Chicago I,Skybox,41.9936612,-87.973521,IL,Elk Grove Village,DuPage County
Hurricane Electric Fremont 1,Hurricane Electric,37.4898848,-121.9310239,CA,Fremont,Alameda County
,Aligned Data Centers,41.4321977,-82.7189574,Ohio,Sandusky,Erie County
Lumen Austin 1,,30.1965,-97.7124025,Texas,Austin,Travis County
Data Foundry - Texas 1,,30.198907,-97.7137835,TX,Austin,Travis County
XO Fremont,XO,37.4753251,-121.9221068,California,Fremont,Alameda County
Hurricane Electric Fremont 2,Hurricane Electric,37.471834,-121.9202907,CA,Fremont,Alameda County
Element Critical,,30.3428035,-97.6961735,Texas,Austin,Travis County
Element Critical CH1,Element Critical,41.9757324,-87.9646913,IL,Wood Dale,DuPage County
165 Halsey / Equinix NY1 / Databank EWR1,Tishman,40.7367304,-74.1738875,NJ,Newark,Essex County
QTS Suwanee Data Center 1,Quality Technology Services,34.0353956,-84.0611057,Georgia,Suwanee,Gwinnett County
QTS Suwanee Data Center 2,Quality Technology Services,34.0370622,-84.0576958,Georgia,Suwanee,Gwinnett County
TierPoint Little Rock,,34.7562396,-92.4447234,Arkansas,Little Rock,Pulaski County
Equinix SV6,Equinix,37.3996265,-122.0145584,CA,Sunnyvale,Santa Clara County
Flexential Atlanta - Norcross,Flexential,33.9547396,-84.1985246,GA,Norcross,Gwinnett County
Centersquare Lynnwood SE1,Centersquare,47.841809,-122.3016653,WA,Lynnwood,Snohomish County
,Apple,44.2894155,-120.8750774,Oregon,Prineville,Crook County
Walmart Colorado Data Center,Walmart,38.9857326,-104.787263,Colorado,Colorado Springs,El Paso County
Verizon,,41.338343,-96.0278024,NE,Omaha,Douglas County
Verizon,,41.3384444,-96.0286183,NE,Omaha,Douglas County
George C. Wallace Alabama Supercomputer Center,Alabama Supercomputer Authority,34.73654,-86.6731017,AL,Huntsville,Madison County
Digital Realty Chicago ORD12,Digital Realty,41.9283557,-87.8592545,IL,Franklin Park,Cook County
,,47.2376691,-119.8646264,Washington,Quincy,Grant County
Microsoft,Microsoft,47.2394776,-119.8830092,Washington,Quincy,Grant County
Microsoft,Microsoft,47.2385754,-119.8830801,Washington,Quincy,Grant County
,,47.2394877,-119.8594059,Washington,Quincy,Grant County
Microsoft CYS Datacenter,Microsoft,41.1225882,-104.9035166,Wyoming,Cheyenne,Laramie County
,,41.1262938,-104.9018528,Wyoming,,Laramie County
KOMO Plaza East,,47.6192326,-122.3482873,WA,Seattle,King County
KOMO Plaza West,,47.6189596,-122.3485259,WA,Seattle,King County
Fidelity,Fidelity,41.1655243,-96.0833669,Nebraska,Papillion,Sarpy County
,Centurylink,33.9177276,-118.3862234,CA,El Segundo,Los Angeles County
Serverfarm - LAX1,Serverfarm LLC.,33.9217415,-118.3864588,CA,El Segundo,Los Angeles County
DRT LAX12,Digital Realty,33.9156593,-118.3846186,CA,El Segundo,Los Angeles County
Google - Thornton,Google,39.922465,-104.9834252,CO,Thorton,Adams County
DRT LAX10,,34.0473304,-118.25751,California,Los Angeles,Los Angeles County
One Wilshire,,34.0478876,-118.2555409,CA,Los Angeles,Los Angeles County
UF Research Computing Center,University of Florida,29.6725909,-82.2999288,FL,Gainesville,Alachua County
"CyrusOne NVA1, NVA2 & NVA3",CyrusOne,39.0259023,-77.4144697,VA,Sterling,Loudoun County
NAP of the Americas,,25.7823886,-80.1930798,Florida,Miami,Miami-Dade County
,,25.7975445,-80.2300338,Florida,Miami,Miami-Dade County
CyrusOne NVA5,CyrusOne,39.024356,-77.4341,VA,Sterling,Loudoun County
Microsoft,Microsoft,41.5406093,-93.8248434,Iowa,West Des Moines,Dallas County
Facebook Altoona Data Center 1,Meta,41.6642482,-93.5147581,Iowa,Altoona,Polk County
Facebook Altoona Data Center 2,Meta,41.6655118,-93.5082089,Iowa,Altoona,Polk County
Lumen Technologies,,33.7167763,-117.8057759,California,Tustin,Orange County
Lumen,Lumen Technologies,47.6542257,-117.4200007,WA,Spokane,Spokane County
,,43.0672971,-89.436704,WI,Madison,Dane County
Equinix CU2,Equinix,38.4548439,-77.9781318,VA,Culpeper,Culpeper County
,,37.3336326,-121.8879639,California,San Jose,Santa Clara County
,,40.7841733,-74.0655505,New Jersey,Secaucus,Hudson County
Evocative Secaucus,Evocative,40.787552,-74.0680502,New Jersey,Secaucus,Hudson County
BT Radianz: 492 River Road,bt,40.8214542,-74.1341867,New Jersey,Nutley,Essex County
Time Warner Datacenter,,39.5989606,-104.8603785,CO,Centennial,Arapahoe County
Time Warner Datacenter,,39.5999328,-104.86017,CO,Centennial,Arapahoe County
CyrusOne Austin Data Center III,,30.2070062,-97.7011317,Texas,Austin,Travis County
Apollo Cable Landing Station,Apollo,40.1570435,-74.101582,New Jersey,Wall Township,Monmouth County
Cable & Wireless Cable Landing Station,,40.8436519,-72.8833757,New York,Shirley,Suffolk County
Equinix Ashburn DC10,Equinix,39.0210047,-77.4514888,Virginia,Ashburn,Loudoun County
Amazon Web Services Datacenter Complex,Amazon Web Services,39.0263311,-77.4516315,Virginia,,Loudoun County
Amazon Web Services,Amazon Web Services,39.0288072,-77.4588379,Virginia,Ashburn,Loudoun County
Amazon IAD-61,Amazon Web Services,38.9158051,-77.4919869,Virginia,South Riding,Loudoun County
,,38.9865152,-77.4422565,Virginia,,Loudoun County
Amazon IAD51,Amazon Web Services,38.9914123,-77.4365107,Virginia,,Loudoun County
Amazon IAD56,Amazon Web Services,38.9905701,-77.4370586,Virginia,,Loudoun County
Amazon IAD16,Amazon Web Services,38.9906864,-77.4488397,VA,Sterling,Loudoun County
Amazon IAD15,Amazon Web Services,38.991708,-77.4485641,VA,Sterling,Loudoun County
Amazon IAD14,Amazon Web Services,38.7898846,-77.5482287,VA,Manassas,Prince William County
Amazon IAD59,Amazon Web Services,38.7921874,-77.5484673,VA,Manassas,Prince William County
Amazon IAD52,Amazon Web Services,38.7911185,-77.5483863,VA,Manassas,Prince William County
Amazon Web Services Datacenter Complex,Amazon Web Services,40.0937454,-82.7518317,Ohio,New Albany,Licking County
Amazon AWS: Hilliard Data Center,Amazon Web Services us-east-2 datacenter,40.0598657,-83.1342839,Ohio,Hilliard,Franklin County
,,45.9158356,-119.2663235,Oregon,Umatilla,Umatilla County
,,45.9158356,-119.2665274,Oregon,Umatilla,Umatilla County
,,45.9158356,-119.2667259,Oregon,Umatilla,Umatilla County
,,45.9158356,-119.2671122,Oregon,Umatilla,Umatilla County
,,45.9158431,-119.2673159,Oregon,Umatilla,Umatilla County
,,45.9158319,-119.2675117,Oregon,Umatilla,Umatilla County
,,45.9158356,-119.2677169,Oregon,Umatilla,Umatilla County
Amazon PDX2,Amazon Web Services,45.916359,-119.2677512,Oregon,Umatilla,Umatilla County
Amazon Web Services us-west-2,Amazon Web Services,45.8410032,-119.6527688,Oregon,Boardman,Morrow County
Amazon Web Services us-west-2,Amazon Web Services,45.8522387,-119.6299007,Oregon,Boardman,Morrow County
Amazon Web Services us-west-2,Amazon Web Services,45.8508808,-119.6305237,OR,Boardman,Morrow County
Equinix San Jose SV3,Equinix,37.388274,-121.8884463,CA,San Jose,Santa Clara County
365 Main Street Data Center,Digital Realty,37.788731,-122.390469,CA,San Francisco,
Meta Forest City datacenter,Meta,35.3142602,-81.8220553,North Carolina,,Rutherford County
Meta Forest City datacenter,Meta,35.3173849,-81.8262484,North Carolina,,Rutherford County
,NTT Limited,37.4039641,-121.8892308,CA,San Jose,Santa Clara County
Csquare SFO1,Csquare,37.37045,-121.9698252,CA,Santa Clara,Santa Clara County
,Vantage,37.3717787,-121.9725052,California,Santa Clara,Santa Clara County
Intergate Columbia B,Sabey Data Centers,47.407164,-120.1875239,WA,East Wenatchee,Douglas County
Intergate Columbia A,Sabey Data Centers,47.4086205,-120.1893981,WA,East Wenatchee,Douglas County
Intergate Columbia,,47.4080112,-120.1917998,Washington,East Wenatchee,Douglas County
QTS Ashburn-Moran,Quality Technology Services,38.9942215,-77.4482013,Virginia,,Loudoun County
Centersquare IAD4-A,Centersquare,39.0217816,-77.4527978,VA,Ashburn,Loudoun County
AWS Building E,Amazon Web Services,39.0050516,-77.4856124,Virginia,Ashburn,Loudoun County
Digital Realty New Jersey EWR20,Digital Realty,40.8299279,-74.1267496,NJ,Clifton,Passaic County
CyrusOne Somerset,CyrusOne,40.5379623,-74.5457225,New Jersey,Franklin Township,Somerset County
BNY Mellon Somerset,,40.535869,-74.5534315,New Jersey,Franklin Township,Somerset County
,Digital Realty,40.5375265,-74.5555236,New Jersey,Franklin Township,Somerset County
Digital Realty New Jersey EWR21,Digital Realty,40.8305858,-74.1245144,NJ,Clifton,Passaic County
,Centurylink,34.1998691,-118.3437888,California,Burbank,Los Angeles County
Amazon IAD78,Amazon Web Services,39.0263681,-77.4495202,VA,Ashburn,Loudoun County
Amazon IAD79,Amazon Web Services,39.0263574,-77.4508704,VA,Ashburn,Loudoun County
,,39.56711,-119.5485335,Nevada,,Washoe County
Kaiser Data Center,,38.254065,-122.2730918,California,Napa,Napa County
Lumen Dallas - 3180 Irving Blvd.,Lumen Technologies,32.8069549,-96.8685888,TX,Dallas,Dallas County
Prime DFW01-01,Prime,32.8379581,-96.8784007,TX,Dallas,Dallas County
Lumen Dallas 6,Lumen Technologies,32.827998,-96.8843787,Texas,Dallas,Dallas County
Digital Realty DFW36,Digital Realty,32.8275499,-96.8737498,TX,Dallas,Dallas County
DataBank Dallas Empire Central Data Center,DataBank,32.8217503,-96.873553,TX,Dallas,Dallas County
TierPoint Dallas Data Center,TierPoint,32.8079818,-96.8573889,TX,Dallas,Dallas County
Amazon IAD87,Amazon Web Services,38.9918083,-77.441172,Virginia,,Loudoun County
Amazon IAD88,Amazon Web Services,38.9909679,-77.4418679,Virginia,,Loudoun County
Verizon,Verizon,39.589248,-104.877933,Colorado,Centennial,Arapahoe County
Stream Data Centers PHX-1,,33.4194907,-112.3599883,AZ,Goodyear,Maricopa County
Live Oak Data Center,,32.7837489,-96.7946364,TX,Dallas,Dallas County
Flexential Portland - Hillsboro 2,Flexential,45.558302,-122.9171647,OR,Hillsboro,Washington County
NYSE Data Center,nyse,41.0783165,-74.152912,New Jersey,Mahwah,Bergen County
AT&T,,34.5799784,-118.1140073,CA,Palmdale,Los Angeles County
,,38.8026713,-104.5219809,Colorado,,El Paso County
Juniper,,45.3187166,-122.7658797,Oregon,Wilsonville,Clackamas County
,,33.0093142,-96.6765617,Texas,Plano,Collin County
Tierpoint Dallas-Allen,,33.1379102,-96.657329,Texas,Allen,Collin County
,DXC Technology,30.0187,-95.8637474,Texas,,Harris County
Amazon IAD73,Amazon Web Services,38.7779795,-77.5590992,VA,Manassas,Prince William County
Amazon IAD74,Amazon Web Services,38.7774374,-77.5578909,VA,Manassas,Prince William County
H5 Data Center,,41.5063555,-81.683589,OH,Cleveland,Cuyahoga County
TPx Colocation Datacenter,TPx Communications,33.7075065,-117.8441042,CA,Santa Ana,Orange County
,,34.0479149,-118.2555689,CA,Los Angeles,Los Angeles County
Cologix Jacksonville JAX1,,30.3314298,-81.6624257,Florida,Jacksonville,Duval County
Microsoft,Microsoft,47.2394872,-119.88741,Washington,Quincy,Grant County
,,47.2385929,-119.864537,Washington,Quincy,Grant County
,,47.2475452,-119.8255073,Washington,Quincy,Grant County
Facebook Fort Worth Datacenter,Meta,32.9837829,-97.259335,Texas,Fort Worth,Tarrant County
Data Center Lenexa,,38.9251636,-94.7703163,KS,Lenexa,Johnson County
CITIGROUP TECHNOLOGY INC,,33.0063815,-97.2452902,Texas,Roanoke,Denton County
QTS Data Center,Quality Technology Services,32.9889133,-97.2592738,Texas,Fort Worth,Denton County
Texas Cryptologic Center,National Security Agency,29.4473786,-98.6407158,Texas,San Antonio,Bexar County
Lowe's Data Center,Lowe's,29.4728539,-98.6895745,Texas,San Antonio,Bexar County
,CHRISTUS Health,29.4703276,-98.6861914,Texas,San Antonio,Bexar County
,Frost Bank,29.4702125,-98.6876674,Texas,San Antonio,Bexar County
CyrusOne San Antonio I,CyrusOne,29.4666098,-98.6880869,TX,San Antonio,Bexar County
Valero Wiserman,Valero,29.4742368,-98.6800789,Texas,San Antonio,Bexar County
Stream San Antonio II,,29.472003,-98.6717199,Texas,San Antonio,Bexar County
CyrusOne San Antonio II,CyrusOne,29.4708878,-98.6730474,Texas,San Antonio,Bexar County
CyrusOne San Antonio III,CyrusOne,29.4700573,-98.6721062,Texas,San Antonio,Bexar County
Spectrum Charlotte National Data Center,,35.1428083,-80.9162228,NC,Charlotte,Mecklenburg County
,,44.2889355,-120.870177,Oregon,Prineville,Crook County
Google Data Center,Google,33.3541387,-111.6764271,Arizona,Mesa,Maricopa County
Cyxtera Tampa TP1,Cyxtera,27.9455353,-82.351102,FL,Tampa,Hillsborough County
DC Blox Chattanooga,,35.0315499,-85.2972523,Tennessee,Chattanooga,Hamilton County
QTS Irving - Dallas Data Center Campus,Quality Technology Services,32.8972479,-96.9826475,TX,Irving,Dallas County
Centersquare Lisle ORD4 Data Center,Centersquare,41.8023406,-88.0948856,IL,Lisle,DuPage County
GoDaddy - Gilbert,,33.3619309,-111.8392899,AZ,Gilbert,Maricopa County
AT&T Center,American Telephone & Telegraph,32.7476543,-117.1589538,CA,San Diego,San Diego County
,,36.1405001,-86.7641364,Tennessee,Nashville,Davidson County
CenturyLink,,33.7651394,-84.3837393,Georgia,Atlanta,Fulton County
,,41.124033,-104.8980886,Wyoming,,Laramie County
,,41.1240368,-104.8992688,Wyoming,,Laramie County
,,41.1252836,-104.8992715,Wyoming,,Laramie County
,,41.1252868,-104.8980833,Wyoming,,Laramie County
Expedient Pittsburgh South,Expedient,40.427371,-80.0425212,PA,Pittsburgh,Allegheny County
Centersquare: Phoenix - (PHX1 - Mesa),Centersquare,33.4212542,-111.8590191,AZ,Mesa,Maricopa County
,DXC Technology,29.9951976,-95.5633335,Texas,,Harris County
,DXC Technology,29.9973349,-95.5640398,Texas,,Harris County
Liquid Web,,42.6879527,-84.6430423,Michigan,,Eaton County
Amazon IAD63,Amazon Web Services,38.9168847,-77.4932514,Virginia,South Riding,Loudoun County
"Liquid Web, Inc",,42.7053904,-84.6660891,MI,Lansing,Eaton County
Amazon IAD62,Amazon Web Services,38.9493217,-77.5198747,Virginia,Arcola,Loudoun County
,,34.0707004,-84.6759032,GA,Acworth,Cobb County
ADP South Dakota,,43.5999139,-96.7947573,South Dakota,Sioux Falls,Minnehaha County
TJX Corporate Techno,,40.1038888,-82.8106146,Ohio,New Albany,Franklin County
Compugen New Albany,,40.1045986,-82.8049123,Ohio,New Albany,Franklin County
Compugen New Albany,,40.1037135,-82.8089026,Ohio,New Albany,Franklin County
Flexential Dallas - Richardson,Flexential,32.9948122,-96.7524974,TX,Richardson,Collin County
Experian McKinney Data Center,,33.1717958,-96.725505,Texas,McKinney,Collin County
,,40.1157427,-83.0025794,Ohio,Columbus,Franklin County
Stack Infrastructure,Stack Infrastructure,37.4025598,-121.893391,California,San Jose,Santa Clara County
Stack Infrastructure,Stack Infrastructure,37.4022094,-121.8923868,California,San Jose,Santa Clara County
Carfax,,38.9235166,-92.2886061,Missouri,Columbia,Boone County
Facebook Altoona Data Center 3,Meta,41.6670521,-93.5065646,Iowa,Altoona,Polk County
Amazon IAD71,Amazon Web Services,39.0279064,-77.4574998,VA,Ashburn,Loudoun County
Amazon IAD50,Amazon Web Services,39.029567,-77.4596724,VA,Ashburn,Loudoun County
Amazon IAD60,Amazon Web Services,39.0287737,-77.4582461,VA,Ashburn,Loudoun County
Amazon Web Services  CMH50,Amazon Web Services,40.0946297,-82.7513394,Ohio,New Albany,Licking County
,,33.3470334,-111.6042679,Arizona,Mesa,Maricopa County
Thin-nology,,30.4211412,-97.591603,TX,Pflugerville,Travis County
CyrusOne Norwalk,CyrusOne,41.1130924,-73.3886495,Connecticut,Norwalk,Western Connecticut Planning Region
Data Foundry - Texas 2,,30.1995736,-97.71307,TX,Austin,Travis County
Meta Los Lunas Data Center,Meta,34.8298309,-106.77852,NM,Los Lunas,Valencia County
Google Datacenter - Douglas County,Google,33.7504467,-84.5856816,Georgia,,Douglas County
Google,Google,41.2219559,-95.8642852,Iowa,Council Bluffs,Pottawattamie County
Microsoft - Azure Datacenter,Microsoft,41.9229565,-87.9182633,IL,Northlake,Cook County
Cloud Storage Corp,,38.8721322,-99.3001874,KS,Hays,Ellis County
Switch Las Vegas 8,Switch,36.057834,-115.214258,Nevada,Enterprise,Clark County
Switch Las Vegas 9,Switch,36.0557074,-115.2196277,Nevada,Enterprise,Clark County
,,29.8215755,-95.5708004,Texas,Houston,Harris County
Information Technology Data Center,Phillips Exeter Academy,42.9820886,-70.9505947,New Hampshire,Exeter,Rockingham County
Digital Fortress Lynnwood,,47.8224039,-122.2896138,Washington,Lynnwood,Snohomish County
,,33.1378233,-96.6559411,Texas,Allen,Collin County
CyrusOne Allen,CyrusOne,33.1385206,-96.6599516,Texas,Allen,Collin County
Amazon Web Services us-west-2,Amazon Web Services,45.8404436,-119.6549794,Oregon,Boardman,Morrow County
Amazon PDX51/54,Amazon Web Services,45.9174478,-119.2677339,Oregon,Umatilla,Umatilla County
Amazon IAD80,Amazon Web Services,39.0271087,-77.4528289,VA,Ashburn,Loudoun County
Equinix Ashburn DC12,Equinix,39.0230155,-77.4497875,VA,Ashburn,Loudoun County
Stream DFW IV,Stream,33.0001441,-96.6616465,Texas,Richardson,Collin County
Rackspace Richardson DFW3,Rackspace,32.9647813,-96.7158554,TX,Richardson,Dallas County
Digital Realty Dallas DFW17,Digital Realty,32.9662804,-96.7132121,TX,Richardson,Dallas County
Digital Realty Dallas DFW29,Digital Realty,32.9672759,-96.7105291,TX,Richardson,Dallas County
,,32.9662442,-96.7112265,TX,Richardson,Dallas County
Digital Realty Dallas DFW28,Digital Realty,32.9672823,-96.7133223,TX,Richardson,Dallas County
Digital Realty Dallas DFW35,Digital Realty,32.9650496,-96.7102551,TX,Richardson,Dallas County
Digital Realty Dallas DFW18,Digital Realty,32.9652584,-96.7126115,TX,Richardson,Dallas County
Digital Realty Dallas DFW16,Digital Realty,32.9660428,-96.715592,TX,Richardson,Dallas County
Digital Realty Northern Virginia IAD36,Digital Realty,39.0015493,-77.4793749,Virginia,Ashburn,Loudoun County
Digital Realty Northern Virginia IAD35,Digital Realty,39.0005331,-77.4805775,Virginia,Ashburn,Loudoun County
Digital Realty Northern Virginia IAD37,Digital Realty,39.000032,-77.4780146,Virginia,Ashburn,Loudoun County
Digital Realty Northern Virginia IAD38,Digital Realty,39.0010841,-77.4772014,Virginia,Ashburn,Loudoun County
State Farm Data Center,,38.9401343,-94.8676823,KS,Olathe,Johnson County
U.S. Bank National Data Process Center,,38.9355851,-94.8645047,KS,Olathe,Johnson County
Equinix SV10,Equinix,37.2412288,-121.7847536,CA,San Jose,Santa Clara County
,,39.8309301,-75.1953233,New Jersey,West Deptford Township,Gloucester County
,Verizon Wireless,41.2204018,-96.1476408,NE,Omaha,Douglas County
,,28.6174494,-81.3934606,Florida,Eatonville,Orange County
Google,Google,33.0642722,-80.0414534,South Carolina,,Berkeley County
TierPoint Baltimore BWI,,39.213455,-76.682834,MD,Linthicum Heights,Anne Arundel County
NTT Ashburn VA2 Data Center,NTT,39.0250127,-77.4576402,VA,Ashburn,Loudoun County
Strata Networks,,40.4565951,-109.5290169,UT,Vernal,Uintah County
Goldman Sachs,,40.5703722,-74.6703296,NJ,Bridgewater Township,Somerset County
Mapletree Industrial,,34.096708,-84.2374791,GA,Alpharetta,Fulton County
Switch Las Vegas 11,Switch,36.0558853,-115.2141369,Nevada,Enterprise,Clark County
Genome Data Center,Washington University in St. Louis,38.6365522,-90.2554356,MO,Saint Louis,
365 Bridgewater NJ,,40.581484,-74.5738875,NJ,Bridgewater,Somerset County
Google Berkeley County Data Center,Google,33.0640078,-80.0423742,South Carolina,,Berkeley County
AngelTrax Data Center,AngelTrax Mobile Video Surveillance Solutions,31.2319037,-85.4558492,AL,Dothan,Houston County
Meta,Meta,34.8302421,-106.7838124,NM,Los Lunas,Valencia County
